#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:10:52.792724+00:00,99.90,value,humidity
,,1,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:10:52.792724+00:00,30.00,value,celsius
,,2,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:10:52.792724+00:00,86.00,value,fahrenheit
,,0,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:10:52.792724+00:00,99.90,value,humidity
,,1,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:10:52.792724+00:00,30.00,value,celsius
,,2,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:10:52.792724+00:00,86.00,value,fahrenheit
,,0,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:02.795225+00:00,99.90,value,humidity
,,1,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:02.795225+00:00,30.00,value,celsius
,,2,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:02.795225+00:00,86.00,value,fahrenheit
,,0,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:12.798456+00:00,99.90,value,humidity
,,1,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:12.798456+00:00,30.00,value,celsius
,,2,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:12.798456+00:00,86.00,value,fahrenheit
,,0,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:22.801147+00:00,99.90,value,humidity
,,1,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:22.801147+00:00,30.00,value,celsius
,,2,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:22.801147+00:00,86.00,value,fahrenheit
,,0,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:32.804105+00:00,99.90,value,humidity
,,1,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:32.804105+00:00,30.00,value,celsius
,,2,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:32.804105+00:00,86.00,value,fahrenheit
,,0,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,99.90,value,humidity
,,1,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,30.00,value,celsius
,,2,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,2024-01-06T09:11:42.807397+00:00,86.00,value,fahrenheit
